transaction_id,account_id,amount,date,name,merchant_name,category,pending,payment_channel,transaction_type,location,created_at,updated_at
8MvMNkXnZzHr97Z1dQDahK6aWnnyBvSW3qnLM,Emnm85Xq3ZCGABJ15Z6psgnG1maaVwU4xWZdE,500.00,2025-10-25,KFC,KFC,,f,in store,place,"{""lat"": null, ""lon"": null, ""city"": null, ""region"": null, ""address"": null, ""country"": null, ""postal_code"": null, ""store_number"": null}",2025-11-20 19:28:26.416613,2025-11-21 08:27:06.652888
gnNnE5qR71iNAjG7e1ogCZLw6nnBpmFE8WonK,Emnm85Xq3ZCGABJ15Z6psgnG1maaVwU4xWZdE,500.00,2025-10-25,Madison Bicycle Shop,,,f,in store,place,"{""lat"": null, ""lon"": null, ""city"": null, ""region"": null, ""address"": null, ""country"": null, ""postal_code"": null, ""store_number"": null}",2025-11-20 19:28:26.416663,2025-11-21 08:27:06.652919
Db4bg5XlBQfbeoXz5aGRI161DzZ19lH7JDa6E,gnNnE5qR71iNAjG7e1ogCZLrv9GGEbiE8AjkL,25.00,2025-10-16,CREDIT CARD 3333 PAYMENT *//,,,f,other,special,"{""lat"": null, ""lon"": null, ""city"": null, ""region"": null, ""address"": null, ""country"": null, ""postal_code"": null, ""store_number"": null}",2025-11-20 19:28:26.416722,2025-11-21 08:27:06.652951
NzMzl5X4PWczx9ny5gdmFydy5mByV4HoQdmP3,oqWqlBaKyAckmpLgrJNMIBWD8MjjJrioq64wo,5.40,2025-10-16,Uber 063015 SF**POOL**,Uber,,f,online,special,"{""lat"": null, ""lon"": null, ""city"": null, ""region"": null, ""address"": null, ""country"": null, ""postal_code"": null, ""store_number"": null}",2025-11-20 19:28:26.416775,2025-11-21 08:27:06.652983
x4R4a7MNKzuzJbx8PQDAFXPXWkoXGDCkejVvy,Wjpja5n1krt6QZJV5ep3swLo7VKKDdC6Zeoav,5850.00,2025-10-15,ACH Electronic CreditGUSTO PAY 123456,,,f,online,special,"{""lat"": null, ""lon"": null, ""city"": null, ""region"": null, ""address"": null, ""country"": null, ""postal_code"": null, ""store_number"": null}",2025-11-20 19:28:26.416847,2025-11-21 08:27:06.653015
k9p9nqBVAgCMxVGP1ba7TLqLAKpLg4iqondNa,8MvMNkXnZzHr97Z1dQDahK619kbbleiW3DvEK,1000.00,2025-10-15,CD DEPOSIT .INITIAL.,,,f,other,special,"{""lat"": null, ""lon"": null, ""city"": null, ""region"": null, ""address"": null, ""country"": null, ""postal_code"": null, ""store_number"": null}",2025-11-20 19:28:26.416902,2025-11-21 08:27:06.653056
nlblyzdqAWu84LWaKBpVF7A7JkZ7gpTZQRWvR,Emnm85Xq3ZCGABJ15Z6psgnG1maaVwU4xWZdE,78.50,2025-10-14,Touchstone Climbing,,,f,in store,place,"{""lat"": null, ""lon"": null, ""city"": null, ""region"": null, ""address"": null, ""country"": null, ""postal_code"": null, ""store_number"": null}",2025-11-20 19:28:26.41699,2025-11-21 08:27:06.653083
P3j3K5VP7GF3a6eW5rR8TNJN5G6NLPF8AaZpe,oqWqlBaKyAckmpLgrJNMIBWD8MjjJrioq64wo,-500.00,2025-10-14,United Airlines,United Airlines,,f,in store,special,"{""lat"": null, ""lon"": null, ""city"": null, ""region"": null, ""address"": null, ""country"": null, ""postal_code"": null, ""store_number"": null}",2025-11-20 19:28:26.417045,2025-11-21 08:27:06.653111
jykyGlzD7oC7eQdwA3WJHwXwmqawJWixadqrM,oqWqlBaKyAckmpLgrJNMIBWD8MjjJrioq64wo,12.00,2025-10-13,McDonald's,McDonald's,,f,in store,place,"{""lat"": null, ""lon"": null, ""city"": null, ""region"": null, ""address"": null, ""country"": null, ""postal_code"": null, ""store_number"": ""3322""}",2025-11-20 19:28:26.417101,2025-11-21 08:27:06.653141
7ZLZ4EkGXrCAgK5DENJWI7N785q73xT6xPL7Q,oqWqlBaKyAckmpLgrJNMIBWD8MjjJrioq64wo,4.33,2025-10-13,Starbucks,Starbucks,,f,in store,place,"{""lat"": null, ""lon"": null, ""city"": null, ""region"": null, ""address"": null, ""country"": null, ""postal_code"": null, ""store_number"": null}",2025-11-20 19:28:26.417157,2025-11-21 08:27:06.653169
