order_item_id,order_id,product_id,quantity,unit_price,line_total,created_at,updated_at
1,1,43,5,359.34,1796.70,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
2,2,5,5,360.85,1804.25,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
3,2,9,2,57.39,114.78,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
4,2,81,3,470.08,1410.24,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
5,2,30,1,344.04,344.04,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
6,2,56,1,405.93,405.93,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
7,3,22,3,114.19,342.57,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
8,3,4,1,124.00,124.00,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
9,3,42,1,482.54,482.54,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
10,3,38,3,38.38,115.14,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
11,4,68,4,301.57,1206.28,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
12,4,73,2,74.13,148.26,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
13,5,49,5,274.22,1371.10,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
14,5,88,2,14.74,29.48,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
15,5,64,5,116.67,583.35,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
16,5,19,2,117.61,235.22,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
17,5,60,3,90.67,272.01,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
18,6,37,5,64.82,324.10,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
19,6,21,1,141.19,141.19,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
20,6,57,3,329.55,988.65,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
21,6,76,3,273.44,820.32,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
22,7,39,2,368.63,737.26,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
23,7,50,4,241.61,966.44,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
24,7,14,2,388.80,777.60,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
25,7,49,5,274.22,1371.10,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
26,8,3,4,299.34,1197.36,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
27,8,36,1,460.06,460.06,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
28,8,73,1,74.13,74.13,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
29,9,100,2,159.54,319.08,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
30,9,78,3,87.30,261.90,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
31,9,29,2,133.19,266.38,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
32,10,81,1,470.08,470.08,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
33,11,47,2,122.18,244.36,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
34,11,12,3,416.41,1249.23,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
