order_id,customer_id,order_number,order_date,total_amount,order_status,created_at,updated_at
1,174,ORD-000001,2024-09-30,1796.70,delivered,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
2,195,ORD-000002,2023-11-21,4079.24,delivered,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
3,390,ORD-000003,2024-10-10,1064.25,pending,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
4,192,ORD-000004,2024-03-17,1354.54,processing,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
5,88,ORD-000005,2023-06-29,2491.16,pending,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
6,236,ORD-000006,2023-09-19,2274.26,pending,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
7,328,ORD-000007,2024-03-10,3852.40,shipped,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
8,184,ORD-000008,2024-08-11,1731.55,shipped,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
9,467,ORD-000009,2024-09-12,847.36,delivered,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
10,318,ORD-000010,2023-09-14,470.08,processing,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
11,159,ORD-000011,2024-03-27,5126.12,pending,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
12,449,ORD-000012,2024-01-10,1648.58,shipped,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
13,412,ORD-000013,2023-04-28,235.22,delivered,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
14,441,ORD-000014,2024-11-23,3841.88,delivered,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
15,300,ORD-000015,2024-01-26,746.40,shipped,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
16,242,ORD-000016,2023-01-26,3299.14,shipped,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
17,24,ORD-000017,2023-02-08,1623.72,shipped,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
18,344,ORD-000018,2024-12-14,3172.91,delivered,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
19,112,ORD-000019,2024-03-30,166.40,delivered,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
20,279,ORD-000020,2024-10-22,168.66,shipped,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
21,98,ORD-000021,2023-05-06,641.60,delivered,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
22,329,ORD-000022,2024-10-16,718.68,pending,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
23,65,ORD-000023,2024-08-01,440.05,processing,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
